Argumentation Scheme,Count,Percentage (%)
Ad Hominem,653,46.25%
Appeal to Consequences,221,15.65%
Appeal to Expert Opinion,75,5.31%
Appeal to Consistency,32,2.27%
Ad Hominem Attack,28,1.98%
Appeal to the Best Explanation,17,1.20%
Appeal to Emotion,15,1.06%
Warning,14,0.99%
Appeal to the Consequences of a Premise,13,0.92%
Appeal to the Consequences of a Course of Action,12,0.85%
Appeal to Common Knowledge,10,0.71%
Appeal to a Higher Authority,10,0.71%
Appeal to Similar Circumstances (ASC),10,0.71%
Appeal to Emotion (Walton's scheme 14),10,0.71%
Appeal to Social Norms,9,0.64%
Appeal to Fairness,9,0.64%
Appeal to the Consequences of a Past Action,8,0.57%
Appeal to Emotions,7,0.50%
Circumstantial Ad Hominem,7,0.50%
Appeal to Ignorance,7,0.50%
Appeal to Authority,7,0.50%
Appeal to Shared Human Experience,6,0.42%
Appeal to the Consequences of a Proposed Action,6,0.42%
Persuasive Definition,6,0.42%
Appeal to Common Practice,6,0.42%
Appeal to Tradition,5,0.35%
The Straw Man Fallacy,5,0.35%
Appeal to Expert Opinion (Argumentation Scheme 14),5,0.35%
Promising the Future,5,0.35%
Ad Ignorantiam,4,0.28%
The Expert Scheme,4,0.28%
Appeal to Analogy (Walton's scheme 14),4,0.28%
Appeal to Inconvenience,4,0.28%
Appeal to Precedent,4,0.28%
Appeal to Good Sense,4,0.28%
Appeal to Inconsistency,4,0.28%
Appeal to the Consequences of a Belief,4,0.28%
Appeal to Shared Group Membership,4,0.28%
Persuasion to Dialogue,4,0.28%
Appeal to a Third Party,4,0.28%
Appeal to Pity,3,0.21%
Appeal to Good Reasons,3,0.21%
Appeal to Equity,3,0.21%
Appeal to Expert Opinion (Argumentum ad verecundiam),3,0.21%
Appeal to the Best Explanation (ABE),3,0.21%
Appeal to Self-Interest,3,0.21%
The Appeal to Practice,3,0.21%
Appeal to Emotion (Appeal to Pity),2,0.14%
Appeal to Humane Values,2,0.14%
Appeal to Prudence,2,0.14%
Appeal to the Burden of Proof,2,0.14%
Appeal to Compromise,2,0.14%
The Appeal to Expert Opinion,2,0.14%
The Scheme of Appeal to Consequences,2,0.14%
Appeal to Popularity,2,0.14%
Appeal to Shared Experience,2,0.14%
Acknowledgment and Agreement,2,0.14%
Appeal to Implication,2,0.14%
Appeal to Analogy,2,0.14%
Appeal to Motive,2,0.14%
Addressing the Audience,2,0.14%
Appeal to Commitment,2,0.14%
Appeal to Circumstances,2,0.14%
The Appeal to Expert Opinion (Argumentum ad verecundiam),2,0.14%
Appeal to Extremes,2,0.14%
"Appeal to Emotion (specifically, the scheme of ""Appeal to Consequences"")",2,0.14%
Appeal to the Consequences of a Proposed Action (ACA),2,0.14%
Appeal to a Third Party's Opinion,2,0.14%
Appeal to Avoiding the Homily,1,0.07%
The Appeal to Ignorance,1,0.07%
Appeal to the Consequences of a Pervasive Dilemma,1,0.07%
The Appeal to the Consequences of a Proposed Action,1,0.07%
Appeal to Consequences of an Action,1,0.07%
Appeal to Alternative Explanations,1,0.07%
Appeal to Similarity (Walton's scheme 14),1,0.07%
The Appeal to Alternative Explanations,1,0.07%
Appeal to a Standard,1,0.07%
The Scheme of Appeal to the Consequences of an Action,1,0.07%
Appeal to Good Intentions,1,0.07%
Appeal to Consequences (Walton's scheme 14),1,0.07%
Appeal to Human Nature,1,0.07%
Appeal to Similarity,1,0.07%
Accusing the Consequences,1,0.07%
The Appeal to Possible Explanations,1,0.07%
Appeal to the Middle Ground,1,0.07%
The Appeal to Shared Human Experience,1,0.07%
Appeal to Common Belief,1,0.07%
Presumption of Non-Compliance,1,0.07%
Threat,1,0.07%
Appeal to Shared Interest,1,0.07%
The Straw Man,1,0.07%
"Appeal to Emotion (specifically, Appeal to Fear)",1,0.07%
The Scheme of the Alternative Solution,1,0.07%
Appeal to a Shared Goal,1,0.07%
Appeal to Good Karma,1,0.07%
Appeal to a Third Party's Opinion (ATP),1,0.07%
Presumption of Success,1,0.07%
The Criticism of a Premature Condemnation,1,0.07%
Appeal to Presumed Antecedent,1,0.07%
Appeal to a Shared Standard,1,0.07%
The Plan Scheme,1,0.07%
Ad Hominem Attack Avoidance,1,0.07%
Presumption of Innocence,1,0.07%
Appeal to Personal Experience,1,0.07%
Appeal to a Shared Value,1,0.07%
Appeal to Alternative Standards,1,0.07%
Appeal to the Consequences of an Action,1,0.07%
Appeal to Family,1,0.07%
Appeal to Emotion (Argumentum Ad Passiones),1,0.07%
Appeal to the Audience's Empathy,1,0.07%
Amplification,1,0.07%
Appeal to Common Humanity,1,0.07%
Ad Hominem Fallacy,1,0.07%
Appeal to the Consequences of a Proposed Course of Action,1,0.07%
Accusation of Irrelevance,1,0.07%
The Appeal to Emotions,1,0.07%
Appeal to the Consequences of a Belief (Walton's scheme 14),1,0.07%
Appeal to Double Standards,1,0.07%
Appeal to Good Motives,1,0.07%
Appeal to Intrinsic Value,1,0.07%
Ad Hominem Abusive,1,0.07%
Appeal to Right,1,0.07%
The Scheme of the Concession,1,0.07%
Appeal to Good Samaritan,1,0.07%
Ad Hominem Extremis,1,0.07%
Appeal to Alternative,1,0.07%
Appeal to Responsibility,1,0.07%
Appeal to Good Samaritanism,1,0.07%
Appeal to Expert Opinion (Walton's scheme 14),1,0.07%
Appeal to Consequences of a Premise (Walton's scheme 14),1,0.07%
Appeal to Consensus,1,0.07%
The Promise Scheme,1,0.07%
Appeal to Humor,1,0.07%
Appeal to Clarity,1,0.07%
Appeal to Common Ground,1,0.07%
Appeal to Avoidance,1,0.07%
Appeal to the Consequences,1,0.07%
Admitting a Weakness,1,0.07%
The Appeal to a Third Party,1,0.07%
The Appeal to the Consequences of a Course of Action,1,0.07%
Appeal to Reasonableness,1,0.07%
Presumption of a Burden,1,0.07%
Appeal to Multiple Standards,1,0.07%
Accommodation,1,0.07%
"The ""Appeal to Expert Opinion"" (Walton's scheme 14)",1,0.07%
Acknowledgment and Refutation,1,0.07%
Appeal to Possible Consequences,1,0.07%
Acknowledgment and Avoidance of the Burden of Proof,1,0.07%
The Appeal to Unstated Premise,1,0.07%
Appeal to the Unusual,1,0.07%
The Expert Opinion Scheme,1,0.07%
The Scheme of Refutation by Counterexample,1,0.07%
Appeal to Ordinary Language,1,0.07%
The Appeal to the Best Explanation,1,0.07%
The Appeal to Emotion,1,0.07%
