instance_id,original_text,masked_text,original_scheme,masked_scheme,changed
ehtfa7k,"YTA. You're being overdramatic about a totally inconsequential thing. It especially crosses the asshole line when you make the life of someone who is working an unpleasant job harder by ""calling them out"" on their normal way of doing it, just because you disagree with how things are handled here.","[VERDICT REMOVED]. You're being overdramatic about a totally inconsequential thing. It especially crosses the [VERDICT REMOVED] line when you make the life of someone who is working an unpleasant job harder by ""calling them out"" on their normal way of doing it, just because you disagree with how things are handled here.",Unknown,Error,True
ejietif,"NTA...family First? Why? Does the family pay the bills? No, longterme its the best you Can do for your family to go to work. He wont remember and when hes older might understand and be thankful for the life you provided for him. Edit: why the shortage on workers? Fired?","[VERDICT REMOVED]...family First? Why? Does the family pay the bills? No, longterme its the best you Can do for your family to go to work. He wont remember and when hes older might understand and be thankful for the life you provided for him. Edit: why the shortage on workers? Fired?",Unknown,Error,True
ebehw0k,"YTA. Perfectly fine to not be into Christmas. However you obviously know your mother is, and that it means a lot to her. To insinuate her motives, saying it’s only for her, is extremely rude. I mean you have to know that it’s a heartbreaking thing for a mother to hear her child doesn’t care about Christmas anymore, but you stated it bluntly and then followed it up by saying she is tossing her childhood baggage on you. So now, not only does she think you don’t want to participate in Christmas but she feels like a burden on the rest of her family which is the exact opposite of what she wanted. Your still young, and seem pretty bright and have well drawn out conclusions you’ve thought about. But if you love your mother, sometimes it’s about enduring it for their sake. Not making them feel bad when really to you it isn’t hurting you in any way other than being slightly annoying. When your 28 and on your own you’ll regret the times you didn’t avoid hurting her when you could’ve just played along, especially if she is a good mom otherwise. If you are me anyway, you may be different but that’s my experience,","[VERDICT REMOVED]. Perfectly fine to not be into Christmas. However you obviously know your mother is, and that it means a lot to her. To insinuate her motives, saying it’s only for her, is extremely rude. I mean you have to know that it’s a heartbreaking thing for a mother to hear her child doesn’t care about Christmas anymore, but you stated it bluntly and then followed it up by saying she is tossing her childhood baggage on you. So now, not only does she think you don’t want to participate in Christmas but she feels like a burden on the rest of her family which is the exact opposite of what she wanted. Your still young, and seem pretty bright and have well drawn out conclusions you’ve thought about. But if you love your mother, sometimes it’s about enduring it for their sake. Not making them feel bad when really to you it isn’t hurting you in any way other than being slightly annoying. When your 28 and on your own you’ll regret the times you didn’t avoid hurting her when you could’ve just played along, especially if she is a good mom otherwise. If you are me anyway, you may be different but that’s my experience,",Unknown,Error,True
ed72r0x,YTA. No words. You disgust me ,[VERDICT REMOVED]. No words. You disgust me ,Unknown,Error,True
ea45vbz,"NTA I am always amazed at the shame people accept as punishment for ""snooping"" on their children's electronics, when their intuition or their childs actions prompt them to do so....And they find incriminating evidence of wrong doing. There is no shame in protecting their self-worth, self-respect, your families emotional well-being and the obvious boundaries in any family relationship not to mention the need to discover when a child is headed down a dark path or is showing hidden mental instability....nobody else will do it for you...and obviously you have discovered your child cannot be trusted to hold steady. It happens all the time. In my household we have an open electronics policy. That is the true test of trust. There is nothing I don't know about my entire families social media, and the same goes for me. It's the only way to be. If your loved ones won't let you go thru their phone or their computer then they are hiding something from you. Totally unacceptable in today's predatory world where the most egregious of horrors can invade your inner sanctum via the internet, twisting young minds. I have been where you are. My child was selling heroin via his computer and phone to the neighborhood kids. I thought he was just popular. He was 13 years old. I found his stash of money under his bed one day. A shit load of bucks. I knew it wasn't from mowing grass, so I went thru his computer. Figured it out pretty quick. If I didn't put the hammer down, and put it down hard...my son would have ended up living a life of crime, in jail or worse. I didn't smash his electronics, I completely removed all electronics from our home. I was the only person who had a phone. He went back to the stone age. He hated my guts, made our lives miserable for a few years. But with therapy, new friends, lots of extracurricular activities, a tutor, and patience..God the patience...he has become a person to be proud of. And yes, he eventually earned the PRIVILEGED of using a computer and having a phone again. As a father, you must stand your ground. You cannot change his thought process, it is learned from his internet use and the people he associates with. He needs intensive therapy (yes, I would suggest a male), new and a better quality of friends, more involvement from you as a role model...and no access to any electronics without your ass being right next to him. And no, he does not NEED a phone. No gaming either. Discover your neighborhood library instead. Good Luck! &#x200B; &#x200B;","[VERDICT REMOVED] I am always amazed at the shame people accept as punishment for ""snooping"" on their children's electronics, when their intuition or their childs actions prompt them to do so....And they find incriminating evidence of wrong doing. There is no shame in protecting their self-worth, self-respect, your families emotional well-being and the obvious boundaries in any family relationship not to mention the need to discover when a child is headed down a dark path or is showing hidden mental instability....nobody else will do it for you...and obviously you have discovered your child cannot be trusted to hold steady. It happens all the time. In my household we have an open electronics policy. That is the true test of trust. There is nothing I don't know about my entire families social media, and the same goes for me. It's the only way to be. If your loved ones won't let you go thru their phone or their computer then they are hiding something from you. Totally unacceptable in today's predatory world where the most egregious of horrors can invade your inner sanctum via the internet, twisting young minds. I have been where you are. My child was selling heroin via his computer and phone to the neighborhood kids. I thought he was just popular. He was 13 years old. I found his stash of money under his bed one day. A shit load of bucks. I knew it wasn't from mowing grass, so I went thru his computer. Figured it out pretty quick. If I didn't put the hammer down, and put it down hard...my son would have ended up living a life of crime, in jail or worse. I didn't smash his electronics, I completely removed all electronics from our home. I was the only person who had a phone. He went back to the stone age. He hated my guts, made our lives miserable for a few years. But with therapy, new friends, lots of extracurricular activities, a tutor, and patience..God the patience...he has become a person to be proud of. And yes, he eventually earned the PRIVILEGED of using a computer and having a phone again. As a father, you must stand your ground. You cannot change his thought process, it is learned from his internet use and the people he associates with. He needs intensive therapy (yes, I would suggest a male), new and a better quality of friends, more involvement from you as a role model...and no access to any electronics without your ass being right next to him. And no, he does not NEED a phone. No gaming either. Discover your neighborhood library instead. Good Luck! &#x200B; &#x200B;",Unknown,Error,True
ejekb9j,"NTA but you keeping a friendship with John will probably put a strain on your relationship with your wife, and probably end any friendship you have with May. Remaining friends with thr cheater is essentially condoning his cheating in the eyes of the person who got cheated. And personally I would not feel at all comfortable if my SO kept a close friendship with a known cheater","[VERDICT REMOVED] but you keeping a friendship with John will probably put a strain on your relationship with your wife, and probably end any friendship you have with May. Remaining friends with thr cheater is essentially condoning his cheating in the eyes of the person who got cheated. And personally I would not feel at all comfortable if my SO kept a close friendship with a known cheater",Unknown,Error,True
eifhqu1,"NTA someone acting like a 5 year old but doesn’t like being treated like a 5 year old... oh, the irony. ","[VERDICT REMOVED] someone acting like a 5 year old but doesn’t like being treated like a 5 year old... oh, the irony. ",Unknown,Error,True
eidkgq2,NTA How is she gonna encourage you be more social and be yourself around others and then get mad when you actually do? Sounds like she acts like she wants you to be more social but in reality she doesn’t. ,[VERDICT REMOVED] How is she gonna encourage you be more social and be yourself around others and then get mad when you actually do? Sounds like she acts like she wants you to be more social but in reality she doesn’t. ,Unknown,Error,True
ednt7ee,Are Canadians American? Are Mexicans American? Ridiculous. NTA.,Are Canadians American? Are Mexicans American? Ridiculous. [VERDICT REMOVED].,Unknown,Error,True
eimji62,NAH. It’s very difficult when someone you love suffers from mental illness.,[VERDICT REMOVED]. It’s very difficult when someone you love suffers from mental illness.,Unknown,Error,True
