user,scheme_name_only,count
david.xing.zhong@gmail.com,Direct Ad Hominem,56
david.xing.zhong@gmail.com,Slippery Slope,20
david.xing.zhong@gmail.com,Practical Reasoning,19
david.xing.zhong@gmail.com,Popular Practice,18
david.xing.zhong@gmail.com,Established Rule,16
david.xing.zhong@gmail.com,Popular Opinion,15
david.xing.zhong@gmail.com,Expert Opinion,8
david.xing.zhong@gmail.com,Ad Hominem,5
david.xing.zhong@gmail.com,Inconsistent Commitment,3
david.xing.zhong@gmail.com,Threat,3
david.xing.zhong@gmail.com,Analogy,2
david.xing.zhong@gmail.com,Consequences,2
david.xing.zhong@gmail.com,Verbal Classification,2
david.xing.zhong@gmail.com,Appeal to Emotion,1
david.xing.zhong@gmail.com,Appeal to Emotions,1
david.xing.zhong@gmail.com,Appeal to Popular Practice,1
david.xing.zhong@gmail.com,Cause to Effect,1
david.xing.zhong@gmail.com,Ignorance,1
david.xing.zhong@gmail.com,Sunk Costs,1
david.xing.zhong@gmail.com,Waste,1
ghiugang@mcmaster.ca,Direct Ad Hominem,39
ghiugang@mcmaster.ca,Practical Reasoning,18
ghiugang@mcmaster.ca,Established Rule,14
ghiugang@mcmaster.ca,Popular Opinion,10
ghiugang@mcmaster.ca,Slippery Slope,10
ghiugang@mcmaster.ca,Popular Practice,9
ghiugang@mcmaster.ca,Ad Hominem,3
ghiugang@mcmaster.ca,Verbal Classification,3
ghiugang@mcmaster.ca,Inconsistent Commitment,2
ghiugang@mcmaster.ca,Threat,2
ghiugang@mcmaster.ca,Analogy,1
ghiugang@mcmaster.ca,Appeal to Emotion,1
ghiugang@mcmaster.ca,Appeal to Popular Practice,1
ghiugang@mcmaster.ca,Emotive Appeal,1
ghiugang@mcmaster.ca,Expert Opinion,1
ghiugang@mcmaster.ca,Ignorance,1
ghiugang@mcmaster.ca,Position to Know,1
ghiugang@mcmaster.ca,Waste,1
rajnikhs@mcmaster.ca,Direct Ad Hominem,32
rajnikhs@mcmaster.ca,Established Rule,9
rajnikhs@mcmaster.ca,Popular Practice,9
rajnikhs@mcmaster.ca,Slippery Slope,9
rajnikhs@mcmaster.ca,Practical Reasoning,7
rajnikhs@mcmaster.ca,Popular Opinion,6
rajnikhs@mcmaster.ca,Expert Opinion,5
rajnikhs@mcmaster.ca,Ad Hominem,3
rajnikhs@mcmaster.ca,Threat,2
rajnikhs@mcmaster.ca,Verbal Classification,2
rajnikhs@mcmaster.ca,Analogy,1
rajnikhs@mcmaster.ca,Appeal to Popular Practice,1
rajnikhs@mcmaster.ca,Emotive Appeal,1
rajnikhs@mcmaster.ca,Inconsistent Commitment,1
rajnikhs@mcmaster.ca,Position to Know,1
rajnikhs@mcmaster.ca,Sunk Costs,1
rajnikhs@mcmaster.ca,Waste,1
sanghana@mcmaster.ca,Direct Ad Hominem,5
sanghana@mcmaster.ca,Expert Opinion,3
sanghana@mcmaster.ca,Popular Practice,3
sanghana@mcmaster.ca,Slippery Slope,3
sanghana@mcmaster.ca,Ad Hominem,1
sanghana@mcmaster.ca,Emotive Appeal,1
sanghana@mcmaster.ca,Established Rule,1
sanghana@mcmaster.ca,Inconsistent Commitment,1
sanghana@mcmaster.ca,Popular Opinion,1
sanghana@mcmaster.ca,Practical Reasoning,1
sanghana@mcmaster.ca,Threat,1
zhane6@mcmaster.ca,Direct Ad Hominem,378
zhane6@mcmaster.ca,Practical Reasoning,139
zhane6@mcmaster.ca,Slippery Slope,112
zhane6@mcmaster.ca,Popular Practice,80
zhane6@mcmaster.ca,Popular Opinion,57
zhane6@mcmaster.ca,Threat,50
zhane6@mcmaster.ca,Established Rule,46
zhane6@mcmaster.ca,Expert Opinion,39
zhane6@mcmaster.ca,Ad Hominem,32
zhane6@mcmaster.ca,Verbal Classification,22
zhane6@mcmaster.ca,Inconsistent Commitment,11
zhane6@mcmaster.ca,Analogy,8
zhane6@mcmaster.ca,Consequences,7
zhane6@mcmaster.ca,Position to Know,4
zhane6@mcmaster.ca,Ignorance,3
zhane6@mcmaster.ca,Position To Know,3
zhane6@mcmaster.ca,Sunk Costs,3
zhane6@mcmaster.ca,Waste,3
zhane6@mcmaster.ca,Appeal to Emotion,2
zhane6@mcmaster.ca,Appeal to Consequences,1
zhane6@mcmaster.ca,Appeal to Emotions,1
zhane6@mcmaster.ca,Appeal to Expert Opinion,1
zhane6@mcmaster.ca,Appeal to Popular Opinion,1
zhane6@mcmaster.ca,Cause to Effect,1
zhane6@mcmaster.ca,Emotive Appeal,1
zhane6@mcmaster.ca,None of the above,1
