index,scheme_with_verdict,scheme_without_verdict,changed,rationale_with,rationale_without
0,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is attacking the opponent's character, labeling them as ""overdramatic"" and an ""asshole"", rather than addressing the substance of the argument. The author is trying to discredit the opponent's opinion by implying that they are being unreasonable and overly sensitive, rather than engaging with the actual issue at hand. This is a classic example of an Ad Hominem attack, where the focus is shifted from the argument to the person making it.","Scheme: Ad Hominem

Rationale: The text is attempting to discredit the opponent's argument by attacking their character, rather than addressing the substance of the argument. The speaker is calling the opponent ""overdramatic"" and implying that they are being unreasonable, rather than engaging with the opponent's claims. This is a classic example of an Ad Hominem attack, where the speaker is trying to undermine the opponent's credibility rather than addressing the merits of their argument."
1,Appeal to Consequences,Appeal to Consequences,False,"Scheme: Appeal to Consequences

Rationale: The text is an appeal to consequences, specifically an appeal to future consequences. The author is arguing that it is better for the family to work long-term because it will provide a better life for the family in the future. The author is also implying that if the family does not work, they will not be able to provide for their family's needs, which will have negative consequences for the family in the future. The author is using the potential negative consequences of not working to support their argument that working is the best option for the family.","Scheme: Appeal to Consequences

Rationale: The text appeals to the consequences of not working, specifically the potential negative impact on one's family. The author argues that working is the best option for one's family, citing the possibility that the child may not remember the sacrifices made for them but will be thankful for the life provided when they are older. This is an example of an Appeal to Consequences, as the author is appealing to the audience's sense of responsibility and concern for the well-being of their family by highlighting the potential negative consequences of not working."
2,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text uses an ad hominem attack by questioning the speaker's motivations and character, rather than addressing the argument itself. The speaker implies that the original poster (OP) is being rude and heartless by not wanting to participate in Christmas, and that they are not considering their mother's feelings. The speaker also suggests that the OP is not a good person because they are not willing to endure the holiday for their mother's sake. This type of attack is characteristic of an ad hominem fallacy, as it focuses on the person making the argument rather than the argument itself.","Scheme: Ad Hominem

Rationale: The text uses an ad hominem attack by questioning the speaker's motivations and character, rather than addressing the argument or issue at hand. The speaker implies that the original poster (OP) is being rude and heartless by not wanting to participate in Christmas, and that they are not considering their mother's feelings. The speaker also suggests that the OP is not a good person because they are not willing to endure the ""annoyance"" of participating in Christmas for their mother's sake. This type of attack is an example of an ad hominem fallacy, as it focuses on the speaker's character rather than the argument itself."
3,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem attack, where the speaker is attacking the opponent's character rather than addressing the argument or issue at hand. The phrase ""You disgust me"" is a personal attack, aiming to discredit the opponent's opinion or argument by implying that they are morally repugnant. This type of attack is a classic example of an Ad Hominem fallacy, which is a common scheme in argumentation theory.","Scheme: Ad Hominem

Rationale: The text snippet appears to be an example of an Ad Hominem attack, where the author is attacking the opponent's character rather than addressing the argument or issue at hand. The phrase ""You disgust me"" is a personal attack, attempting to discredit the opponent's opinion or argument by appealing to emotions rather than reason. This is a classic example of an Ad Hominem fallacy, where the focus is shifted from the argument to the person making it, in an attempt to undermine their credibility."
4,Appeal to Consequences,Appeal to Consequences,False,"Scheme: Appeal to Consequences

Rationale: The author appeals to the consequences of not monitoring children's electronics, using personal anecdotes and hypothetical scenarios to emphasize the potential harm that can occur if parents do not take action. The author argues that not monitoring children's electronics can lead to negative outcomes such as children being exposed to harmful content, developing bad habits, and even engaging in criminal behavior. The author also suggests that not monitoring children's electronics can lead to a breakdown in trust and communication within the family. By highlighting the potential consequences of not monitoring children's electronics, the author is using an appeal to consequences to persuade the reader to adopt a particular course of action.","Scheme: Appeal to Consequences

Rationale: The author appeals to the consequences of not monitoring children's electronics, using a personal anecdote to illustrate the potential harm that can occur if parents do not take action. The author shares their own experience of discovering their 13-year-old son's involvement in selling heroin and the negative consequences that would have resulted if they had not intervened. The author then extrapolates this experience to make a general claim about the importance of monitoring children's electronics, warning that if parents do not take action, their children may end up living a life of crime or worse. This appeal to consequences is a common argumentation scheme used to persuade others to adopt a particular course of action by highlighting the potential negative outcomes of inaction."
5,Appeal to Consequences,Appeal to Consequences,False,"Scheme: Appeal to Consequences

Rationale: The text appeals to the consequences of keeping a friendship with a cheater, arguing that it will likely lead to negative outcomes, such as straining relationships with one's wife and May, and being perceived as condoning the cheating. The author is using the potential consequences to persuade the audience that it is not a good idea to maintain a close friendship with a cheater. This is a classic example of an Appeal to Consequences, where the author is using the potential outcomes to sway the audience's opinion.","Scheme: Appeal to Consequences

Rationale: The text appeals to the consequences of keeping a friendship with someone who has cheated. The author argues that it will likely put a strain on the relationship with one's wife and end any friendship with May, and that it will be perceived as condoning the cheating. The author also expresses their personal discomfort with the idea of their significant other keeping a close friendship with a known cheater. This is an example of an Appeal to Consequences, as the author is highlighting the potential negative outcomes of a particular action (keeping a friendship with a cheater) in order to persuade the audience to adopt a particular position (ending the friendship)."
6,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is an example of an Ad Hominem attack, where the speaker is attacking the opponent's character or personal traits rather than addressing the argument or issue at hand. The phrase ""acting like a 5 year old"" is a pejorative label that implies the person is childish, immature, or unreasonable. The speaker is not engaging with the opponent's argument or evidence, but rather trying to discredit them by making a personal attack.","Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem attack, where the author is attacking the person making the argument rather than addressing the argument itself. The author is implying that the person is acting childish, which is a personal attack, rather than addressing the substance of the argument. The use of the phrase ""oh, the irony"" is also a way of mocking the person's argument, rather than engaging with it on its merits."
7,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is attacking the character or personal qualities of the person being addressed (the mother) rather than addressing the argument or claim being made. The speaker is questioning the mother's motivations and sincerity, implying that she is being hypocritical, rather than engaging with the argument about how she is supposed to encourage her child to be more social. This is a classic example of an Ad Hominem attack, where the focus is shifted from the argument to the person making it, in an attempt to discredit them and avoid addressing the substance of the claim.","Scheme: Ad Hominem

Rationale: The text is attacking the character or personal qualities of the person being addressed, rather than addressing the argument or issue at hand. The speaker is questioning the motivations and sincerity of the person, implying that they are not genuine in their desire to encourage social behavior. This is a classic example of an Ad Hominem attack, where the focus is shifted from the argument to the person making it, in an attempt to discredit their argument."
8,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem argumentation scheme, where the author attacks the opponent's character or personal qualities rather than addressing the argument itself. The author is dismissing the idea of Canadians and Mexicans being American by labeling it as ""ridiculous"" and implying that the person who proposed this idea is foolish or absurd. This is a classic example of an Ad Hominem fallacy, where the author is trying to discredit the opponent's argument by attacking their character rather than engaging with the substance of the argument.","Scheme: Ad Hominem

Rationale: The text snippet is an example of an Ad Hominem argumentation scheme, where the speaker attacks the opponent's character or personal qualities rather than addressing the argument itself. The speaker is dismissing the idea of Canadians and Mexicans being American by labeling it as ""ridiculous"", without providing any logical or evidence-based reasoning to support their claim. This is a classic example of an Ad Hominem fallacy, where the speaker is trying to discredit the opponent's argument by attacking their character or personal qualities, rather than engaging with the substance of the argument."
9,Appeal to Emotion (Ad Hominem),Appeal to Emotion (Ad Hominem),False,"Scheme: Appeal to Emotion (Ad Hominem)

Rationale: The text snippet is an appeal to emotion, specifically an ad hominem fallacy, as it attempts to shift the focus from the argument at hand to the emotional state of the person making the argument. The phrase ""NAH"" and the statement ""It's very difficult when someone you love suffers from mental illness"" are meant to evoke an emotional response rather than engage with the argument. The speaker is trying to create an emotional connection with the audience rather than provide a logical or evidence-based response to the original argument.","Scheme: Appeal to Emotion (Ad Hominem)

Rationale: The text snippet appears to be an appeal to emotion, specifically an ad hominem attack. The speaker is diverting attention away from the issue at hand (the verdict) and instead focusing on their personal emotional experience of having a loved one with mental illness. This is an attempt to elicit an emotional response from the audience, rather than engaging with the argument or evidence presented. By doing so, the speaker is attempting to discredit the opposing viewpoint without addressing its merits."
