Topic,Count,Name,Representation,Representative_Docs
-1,211,-1_the_and_you_to,"['the', 'and', 'you', 'to', 'your', 'of', 'that', 'if', 'it', 'he']","['NTA. My girlfriend has hypothyroidism and i know the struggle she goes through dealing with her metabolism, limiting her calories and still dealing with weight gain at times. It’s not your fault. If your boyfriend can’t understand that then I would question whether or not he’s mature enough to be in a committed relationship. I also known the pure and utter fucking misery of working in a call center. That’s a shitty job. I’m now fortunate enough to have my dream job (software engineer) and although it’s much harder overall, it never ever feels that way because I love doing it. Never underestimate the value that loving what you do brings to your ability to power through difficulty and obligation. I would say to OP: - Spend some time thinking about what it is that you could see yourself doing and being happy. We all have to work unfortunately, that’s just life. But that doesn’t mean that we have to hate our jobs. Figure out what that looks like for you and what a first step is towards that journey, and then take it. Don’t do it for your boyfriend, but for you. - if you aren’t already, I would highly encourage you to see a doctor for your thyroid condition. There is medication that Can help regulate your thyroid hormone levels and also control some of the more painful side effects. Prior to getting on her medication, my girlfriend dealt with hair loss, chronic fatigue, nausea, among others. - as for your boyfriend, his behavior sucks right now. He may feel some resentment because in his mind he is contributing more than you are, but to be honest, relationships go like that sometimes. The key thing is support. Do you feel supported by him to take positive steps in your life or do you feel like he criticizes you? The difference between those two will be very telling about the future of your relationship. Ideally, when things are unequal in terms of contributions, the partner that is contributing more is supportive because there is trust that the other person means well and is working towards something better or dealing with something temporary.', 'NTA. My girlfriend has hypothyroidism and i know the struggle she goes through dealing with her metabolism, limiting her calories and still dealing with weight gain at times. It’s not your fault. If your boyfriend can’t understand that then I would question whether or not he’s mature enough to be in a committed relationship. I also known the pure and utter fucking misery of working in a call center. That’s a shitty job. I’m now fortunate enough to have my dream job (software engineer) and although it’s much harder overall, it never ever feels that way because I love doing it. Never underestimate the value that loving what you do brings to your ability to power through difficulty and obligation. I would say to OP: - Spend some time thinking about what it is that you could see yourself doing and being happy. We all have to work unfortunately, that’s just life. But that doesn’t mean that we have to hate our jobs. Figure out what that looks like for you and what a first step is towards that journey, and then take it. Don’t do it for your boyfriend, but for you. - if you aren’t already, I would highly encourage you to see a doctor for your thyroid condition. There is medication that Can help regulate your thyroid hormone levels and also control some of the more painful side effects. Prior to getting on her medication, my girlfriend dealt with hair loss, chronic fatigue, nausea, among others. - as for your boyfriend, his behavior sucks right now. He may feel some resentment because in his mind he is contributing more than you are, but to be honest, relationships go like that sometimes. The key thing is support. Do you feel supported by him to take positive steps in your life or do you feel like he criticizes you? The difference between those two will be very telling about the future of your relationship. Ideally, when things are unequal in terms of contributions, the partner that is contributing more is supportive because there is trust that the other person means well and is working towards something better or dealing with something temporary.', 'NTA. My girlfriend has hypothyroidism and i know the struggle she goes through dealing with her metabolism, limiting her calories and still dealing with weight gain at times. It’s not your fault. If your boyfriend can’t understand that then I would question whether or not he’s mature enough to be in a committed relationship. I also known the pure and utter fucking misery of working in a call center. That’s a shitty job. I’m now fortunate enough to have my dream job (software engineer) and although it’s much harder overall, it never ever feels that way because I love doing it. Never underestimate the value that loving what you do brings to your ability to power through difficulty and obligation. I would say to OP: - Spend some time thinking about what it is that you could see yourself doing and being happy. We all have to work unfortunately, that’s just life. But that doesn’t mean that we have to hate our jobs. Figure out what that looks like for you and what a first step is towards that journey, and then take it. Don’t do it for your boyfriend, but for you. - if you aren’t already, I would highly encourage you to see a doctor for your thyroid condition. There is medication that Can help regulate your thyroid hormone levels and also control some of the more painful side effects. Prior to getting on her medication, my girlfriend dealt with hair loss, chronic fatigue, nausea, among others. - as for your boyfriend, his behavior sucks right now. He may feel some resentment because in his mind he is contributing more than you are, but to be honest, relationships go like that sometimes. The key thing is support. Do you feel supported by him to take positive steps in your life or do you feel like he criticizes you? The difference between those two will be very telling about the future of your relationship. Ideally, when things are unequal in terms of contributions, the partner that is contributing more is supportive because there is trust that the other person means well and is working towards something better or dealing with something temporary.']"
0,184,0_she_her_you_nta,"['she', 'her', 'you', 'nta', 'and', 'to', 'social', 'be', 'that', 'it']","['NTA - What?! My first instinct is to say your gf is a petty little bitch, but because I like to give people the benefit of the doubt I thought about it further. Maybe the reason she enjoys the relationship is because she appreciates the dynamic of you being the quiet introvert which allows her to shine. She, being an introvert herself, may feel like it makes her seem more outgoing when with someone much more introverted and because you finally found a situation in which you came out of your shell, she in turn felt like she then came off as the anxiety ridden introvert she’s been trying not to be. Regardless, this is her problem, not yours. She needs to recognize that the emotions she felt have to do with her own self esteem and you aren’t responsible for making her feel bad. Bottom line, you should never have to hold yourself back to make someone else feel more confident. Next time she leaves a social gathering feeling bad about herself she needs to look in the mirror and figure out how to navigate that rather than pointing the finger at you. You did nothing wrong. As a fellow social Neanderthal I commend you for finding the courage to join in the conversation. Your gf needs to learn how to support you in this rather than hold you back. My husband encourages me to be more outgoing as any partner should. ', 'NTA. I would have been so proud of you. You did nothing wrong and you shouldn\'t feel reluctant to go to other meet-ups. But perhaps you could join some groups centered around your own interests and go without her. The nice thing about meeting strangers is that they don\'t know you\'re supposed to be ""a social Neanderthal"" and you can try on a more social self when around them. Also, based on your account here, it doesn\'t sound like you don\'t understand social etiquette. I wonder how you developed some of these ideas: has someone told you repeatedly you\'re socially inadequate? were you always around idiots who thought making small talk was the epitome of socialization? have you ever had a friend with whom you could talk for hours? I used to think I was charmless and introverted because I\'d never enjoyed large gatherings and the sort of pointless chatter which dominates them. Now I can do it easily if necessary, but it bores me to death. However, at some point, I realized I was very good at talking to people one-on-one, including those who didn\'t normally communicate much, and that I could keep a conversation going with anyone. I still think of myself as being closer to the introverted end of the spectrum, but I don\'t see it as a bad thing: I choose my social encounters carefully and don\'t waste energy on those I know I don\'t personally enjoy. I\'ll be honest: I don\'t like your girlfriend\'s reaction. I don\'t like the fact that maybe she uses you to feel good about herself and that she resented you for having a successful evening. I don\'t like the way she made it all about herself, when she should have been glad to see you come out of your shell and make a good impression on other people she likes. This deserves a conversation, but not one in which you\'re endlessly apologizing just to appease her.', 'NTA It seems to me that she\'s dating you BECAUSE you have anxiety. It sucks that people glorify mental illness, but many people want someone who they feel bad for, because it makes them seem like a better person then they really are. They want the reassurance of knowing their partner is not as social as them and therefore, will not be able to find anyone better, or find friends. Think about it, if you have friends that means she gets less attention. I have social anxiety too, and it\'s very clear that this is abuse. If she loved you, she would encourage you to be the best version of yourself. Instead, she wants you to be quiet enough so that you are dependent on her. In order to do this, she makes you feel as if you have done something wrong socially because she KNOWS it will hurt you and push you back into isolation. I had a friend of mine who did this, she would look at me as if I was talking too much and would criticize anything I said because she was afraid I was getting too much attention. She went on to spread rumors about me that I ""wasn\'t really shy"" because in her mind, if I was shy, I could never contribute to a conversation as much as she did. She was only friends with me because she wanted friends who accepted her as the dominant ""Regina George"" ""above everyone else"" type-girl. That ended up pushing me into the worst isolation I\'ve ever been in in my life, I spent my last 3 years of high school sitting alone and not talking or engaging with anyone. That was exactly what she wanted, and it messed me up so much I needed therapy. I felt my opinions were not wanted. And even now, I\'m in college, have new friends and a job that I love, but I am still constantly worried that people dont like me.']"
1,96,1_chris_they_family_for,"['chris', 'they', 'family', 'for', 'son', 'the', 'you', 'to', 'food', 'and']","['NTA. The kid said he was hungry and you responded on the fly. Idk exactly how it was said, I just know you felt like you couldn’t ignore the comment. The dad pushing it further and saying, “Not really” or whatever was kind of awkward. I get why your response was a bit awkward. What the heck were you supposed to say? Some people are telling you what you said was wrong, but not giving an alternate answer because they don’t have one. Others are telling you what you should’ve said when they have had time to think about it and don’t feel pressured. You aren’t a jerk for not feeding them. You aren’t a jerk for what you said. Even if people want to deny it, they have had many time when they didn’t know what to say! Now, I get that it made you feel awkward, but saying Chris should come over less because of that is silly. I 100% understand wanting to avoid feeling awkward. However, I’d only worry about it if it happens again. The way I was raised, what they did was really rude. Pulling the parents aside and discussing it might offend them. That could hurt their friendship. I’ve learned people aren’t very receptive to directness. Having Chris come over less doesn’t mean this will never happen again. I will say I don’t think it will though. Don’t change how much Chris comes over. Now that you have some ideas of how to respond use them next time, IF it happens. I did see some good responses. Offering a snack is a good move if you’re specific about what you have to offer. I want to add, you could just let the parents respond to the child. If I said, “I’m hungry.” My mom would probably tell me we’ll eat when we get home, and tell me to be patient. You’re not a jerk, it was just a weird situation. ', 'YTA. Hungry people came to your house, one of them is a friend of your son. You could have fed them but decided not to and then took steps to ensure that their son is no longer welcome at your house because he’s hungry. How dare he be a hungry child in your presence?! When he grows up he could’ve had an amazing story about his friend’s house where he could get a good meal when his family was going through some hard financial times and he was going hungry often. Now he will have a story about feeling like a burden on some lady because he was hungry and that his family was sent away hungry and disinvited from going back to his “friend’s” house afterwards... because he was guilty of being hungry. Things you could’ve done instead: 1- fed them all and made them feel welcome 2- made some more food to ensure everyone could eat, get to know them better. 3- give them some money for take out or groceries. 4- order food in or have it delivered to their house. 5- discuss with their parents about if they’re having financial difficulties and see if you can help them find a job or point them in the direction of resources to help them get food. We had a house in our town where kids knew they could go if they were hungry. My buddy’s mom would feed anyone and everyone who walked through their door. They were not rich (far from it) and they had 6 boys of their own on a $30,000 a year salary. But she ALWAYS fed every single person who stopped by. Dozens of kids have grown up with nothing but fond memories of this house and the love and kindness they felt there. There are very few worse things I can think of that we can do to our fellow beings than sending them away hungry. Especially if you have more than enough. To top it off, ensuring that their son is no longer welcome at your house in order to prevent you from feeling put out again just makes me cringe. Disgusting behavior. I hope you’re never in a position like they are now, but maybe then you’d learn something. But I doubt it. You are definitely the ass hole. I hope your kids grow up to treat others better than their mom does. I’d be ashamed of my mother if she did this. ', 'YTA. Not for not feeding them - in fact, from your story, there doesn\'t even seem to be any indication you were even *asked* to feed anyone - but how you handled it. Seriously... you sound like not only an asshole, but some real next-level pretentious classist. They were never in there for food first of all, they just were picking up Chris and wanted to use the bathroom. All they did was comment on the aroma (a comment made by a CHILD), and your mind immediately got all defensive and panicky and jumped to conclusions. If I was just popping in somewhere to use the bathroom and there was a great smell in the air, sure if it was that good I\'d probably comment on it. Doesn\'t mean I\'m asking for anything, was probably just saying ""damn, Chris\'s friend\'s mom must be a good cook!"" A mere *complement* from a child had you all flustered. Let that sink in for a second. > As they were waiting one sibling commented on hungry they were. Again, said by a child, not a parent - probably just telling the parents they want to go home and eat rather than stick around and be chatty. When I was a kid my parents had a tendency to be chatty when we\'re on our way out from somewhere while I would patiently wait for them to finish. ""Mommy, this smell is making hungry let\'s go home"". > I diplomatically said that ""well I\'m sure you parents have a nice dinner planned for you"" as I definitely had not cooked for another four people to join us. > The father replied ""not really"" and looked away. > I said ""well take out it is then.. perhaps you should get moving since the kids are hungry."" and ushered them to the door. This is where your true colors start to show. Literally NO ONE asked you for anything, and you kinda put the parents in an awkward position with that comment when all they were doing was waiting for their kid to finish in the bathroom. > Since then I\'ve told my son that he may be better off meeting Chris and hanging out elsewhere rather than bringing him home so much (four visits to one per week) or even going to his place as I don\'t want a repeat of Chris\' family here on my doorstep. Holy shit, THIS is where you sound like a real asshole, adding insult to injury like that when Chris didn\'t even do anything. Imagine how he would feel when your son tells him that. You ""don\'t want a repeat of Chris\'s family on the doorstep""... when all they did was say hello while wait for their kid in the bathroom? Even after Chris has been coming over for a while previously with no trouble whatsoever? Parents come in to say hi sometimes when picking their kid up from a playdate, why shouldn\'t they? Also, why is \'going to his place\' included? Afraid of their family\'s \'inferiority\' and poor-ness \'rubbing off\' on your son? Honestly, based on how you constantly describe Chris and his family in this story as being ""poor"" and ""not well off"" several times, it seems like you look down on them and view them as inferior to the point of resentment and repulsion, and the egregious conclusions you jumped to that they were trying to \'mooch\' off you just adds to that. Taking all that into account, along with your need to add insult to injury by laying down the law with your asinine restrictions on your son\'s hangout time with Chris alone, it also seems like their presence in your house *offends* you because of how \'inferior\' they are and unworthy of having anything to do with you, much less set foot in the presence of Your Royal High-class-ness, and why it triggered that knee-jerk reaction and assumption. Lucky for you though, if Chris\'s parents have any self-respect, they probably don\'t wanna be anywhere near you either after how reprehensibly you treated them. So, congratulations. Seriously how are there so many NTA comments']"
2,56,2_kids_them_children_religion,"['kids', 'them', 'children', 'religion', 'raise', 'to', 'you', 'your', 'be', 'she']","[""NTA Sister knows your views and if she wants you to raise her kids then should be making things as easy as possible for you to do so. Just the burden of raising 3 extra kids is more than I could ever expect someone to do for me. I would also only ask someone that I felt would raise them how I would like them to be raised. Either your sister thinks you will raise her children well or she doesn't. If she does, then she should respect the way you feel is best to do so and if she doesn't then she should find someone that she feels comfortable with. Although, this could be an ESH as you could just let a dying woman feel like she gets what she wants and then raise the kids however you want anyway..."", 'NTA: You want to raise these kids no strings attached. That’s more than fair. Bottom line this is about money, and nothing else. That’s okay, kids cost a lot. It’s a reasonable thing to be cautious about. The devil’s in the details, and that’s a lot of money. I’d want that stipulation removed as well. Could you use that money to get them birth control? What if they decide religion doesn’t have a place in their lives? Will that money just vanish since they aren’t being raised “properly?” All that is a hornet’s nest of fucked up legal stuff. I wouldn’t want to deal with that (on top of the other legal stuff it takes to adopt) either. If I were you I’d try to find a way to secure that money for the kids (it’s not only the right and ethical thing to do, but it sounds like you have everything else taken care of anyway). I would happily adopt the kids, and see about getting them grief counseling as well as family therapy for all of you. The idea being that you all seamlessly fit into each other’s lives and any bumps along the way becomes grounds for resentment. If the kids are hyper religious, respect that. Also inform them that you or your family won’t be preached to, talked down to, and you won’t tolerate any bigotry. Lay your ground rules, but allow them to express themselves in their religion. If they want to go to church every Sunday, take’em. If they want to sit at home, eat chocolate frosted sugar bombs, and watch cartoons, that’s fine too. Don’t tell them atheists are respectful and, generally good people. Show them. Prove it day in and day out. Eventually someone will say atheists are terrible and awful, and they’ll say to themselves “wait....OP is an atheist and so is his family. They aren’t like that at all. This guy has no idea what he’s going on about.” ', 'YTA - 10 weeks left to live and you put her in this position. Why can\'t you let the girls learn about religion? It is obviously important to their mom. Just because you don\'t believe doesn\'t mean it will hurt them to. Besides, it will help the grieving children to know their mom is in heaven. If you tell them this isn\'t real or you don\'t believe in it, you could seriously traumatize them. You won\'t teach them religion which will give you the funds to care for them, and you won\'t ""waste"" your own money on them. What a crappy brother! I understand why your family made you the black sheep. There have been atheists who raised other people\'s children catholic/jewish/etc. because that is what the passing parents believed. Just because they believe doesn\'t mean you have to. Just put them in a once a week religion class, and you wouldn\'t really even have to discuss it much. Just don\'t tell children who think their mom is in heaven that there isn\'t one, you will destroy them! (somebody said this once to a kindergardener in my class who said her dad was in heaven. The girl was devastated for weeks thinking her father was just in a whole in the ground rotting. DO NOT DO THIS TO THE KIDS just because you hate religion. I can\'t believe you would allow relatives to end up in the foster system just because you think religion is foolishness and don\'t want the kids raised that way. And to tell someone who is at deaths doorstep, who has nothing but religion to hold onto at this point, that you would actually put her children in foster care. What a crappy evil person you are! Hell, I\'m catholic and love children! Send me the kids and the estate money and I will raise them the way the mom wants and make sure they are happy and well taken care of! ']"
3,52,3_yta_sub_unbelievable_resolved,"['yta', 'sub', 'unbelievable', 'resolved', 'invasion', 'insensitive', 'shp', 'ask', 'privacy', 'many']","['YTA ', 'YTA', 'YTA']"
4,46,4_party_family_birthday_your,"['party', 'family', 'birthday', 'your', 'first', 'the', '750', 'work', 'wife', 'remember']","[""I think YTA but only mildly so (because I think everyone understands wanting to look good at work and advance). yes, your son won't remember it, but it's also his first birthday party. It's not unreasonable of your wife to want you to let your boss know this is a prior engagement that you can't miss. also, this part honestly rubs me the wrong way a little bit: >Frankly I feel like this party is for her rather than my son. Shown only more so by the fact that the overwhelming majority of the people invited are her side of the family and her girlfriends. If it was truly for my son, who will have no memories of this event, then surely the other side of his family would have been given more thought. so...get involved and talk to your wife about the guest list? You have agency and two hands, text your family and friends and invite them? is your wife *refusing* to allow you to invite your side of the family, or...? **Edit:** and I agree with people who point out that dropping something as important as your son's first birthday party to fill a shift at work might not make you look like a great candidate for advancement - rather, it might end up just making you look like a pushover, a patsy. Now that kind of thing is obviously highly dependent on the unique interpersonal dynamics of your workplace, and it may *not* be the case here - but I've seen situations like yours play out like that. "", ""YTA, if you wanted your friends and family there you should have invited them, it's not just up to the mum to sort it out. You have to decide whats more important to you on that day I. E. your work or family, your son won't actually remember this party so he's not going to be dissapointed, but your wife and family will be. What time is the party? It's pretty incredible all those people got time off for your son's first birthday, kudos to your wife it might not be possible to get them all there if you change the time. "", 'NTA - it’s reasonable for you to want to be a good employee and impress your boss. This is an opportunity for better things to come and more security for your family. The fact that your wife can’t see the bigger picture and the implications of your actions beyond this one party is unfair. Also, I don’t know why everyone keeps stressing FAMILY FIRST as if that’s always right. It’s not. You have to take each decision as it comes and this is a fair one to deliberate. It’s potentially a chance to show your work you are enthusiastic, dedicated, and reliable...and that means a fucking lot! It gives you more grounds to ask for a raise or set your own path etc etc....Sorry reddit, work matters and family can’t trump work 100 percent of the time. 😬 Your wife enjoys the benefits of you working (paycheck to live) so she should fully support you keeping that part of your life as healthy as possible...because none of you can eat if you don’t! Within reason of course!!!! Also, you’re still showing up to the party, just a bit later. She can still have her all day party and mingle all she wants without you there; why does she care if you come later? You guys don’t need to change the party time to accommodate your work. Try to get her to express what she REALLY WANTS out of this party. I’m pretty sure your presence is lower in the totem pole than just having a successful party. I can relate to your wife because I get attached to a thing I want to do too and get mad about plans changing. The changing of plans ALWAYS BOTHERS ME. But I’ve learned over time that it just adds stress and unhappiness and there is no reason to be attached to things happening a certain way sooooooo much that it’s going to ruin my mood all day. Just roll with the punches man. I struggle to keep this perspective but when I do, my life is a lot easier. ']"
5,42,5_nta_06_gif_http,"['nta', '06', 'gif', 'http', 'dish', 'canada', 'reactiongifs', 'peterson', 'jordan', 'soup']","['NTA', 'Nta', 'NTA']"
6,40,6_nta_people_driving_he,"['nta', 'people', 'driving', 'he', 'any', 'it', 'business', 'job', 'tyrant', 'professionalism']","[""NTA - you've given good business for years, and one punk employee wants to mess that up. He's either an idiot causing an issue because he doesn't know any better, or he's a petty tyrant (and from your description the latter). Some people literally can't have any measure of power at all. He feels like our Orange in Charge."", ""NTA - you've given good business for years, and one punk employee wants to mess that up. He's either an idiot causing an issue because he doesn't know any better, or he's a petty tyrant (and from your description the latter). Some people literally can't have any measure of power at all. He feels like our Orange in Charge."", ""NTA - you've given good business for years, and one punk employee wants to mess that up. He's either an idiot causing an issue because he doesn't know any better, or he's a petty tyrant (and from your description the latter). Some people literally can't have any measure of power at all. He feels like our Orange in Charge.""]"
7,34,7_he_essay_it_you,"['he', 'essay', 'it', 'you', 'thesis', 'criticism', 'him', 'paragraphs', 'points', 'just']","['NTA My friends and I share essays all the time for input and we tear each other apart. No one minds or gets defensive because it makes us better writers. In the future, try sharing it as a Google Doc on suggestion mode so that you can mark a paper with specific suggestions for change and aren\'t really forced to make overall judgement calls like ""you should rewrite this."" My holy grail resources for editing are the *Rodale Synonym Finde*r and Strunk and White\'s *Elements of Style*. Also, there is no way to write a meaningful argumentative essay on feminism in three paragraphs. If the writing sample he is being asked to supply is supposed to be this short, they might be looking for a personal narrative rather than an argumentative essay. (Especially for a getting-to-know-you application).', 'NTA My friends and I share essays all the time for input and we tear each other apart. No one minds or gets defensive because it makes us better writers. In the future, try sharing it as a Google Doc on suggestion mode so that you can mark a paper with specific suggestions for change and aren\'t really forced to make overall judgement calls like ""you should rewrite this."" My holy grail resources for editing are the *Rodale Synonym Finde*r and Strunk and White\'s *Elements of Style*. Also, there is no way to write a meaningful argumentative essay on feminism in three paragraphs. If the writing sample he is being asked to supply is supposed to be this short, they might be looking for a personal narrative rather than an argumentative essay. (Especially for a getting-to-know-you application).', 'NTA My friends and I share essays all the time for input and we tear each other apart. No one minds or gets defensive because it makes us better writers. In the future, try sharing it as a Google Doc on suggestion mode so that you can mark a paper with specific suggestions for change and aren\'t really forced to make overall judgement calls like ""you should rewrite this."" My holy grail resources for editing are the *Rodale Synonym Finde*r and Strunk and White\'s *Elements of Style*. Also, there is no way to write a meaningful argumentative essay on feminism in three paragraphs. If the writing sample he is being asked to supply is supposed to be this short, they might be looking for a personal narrative rather than an argumentative essay. (Especially for a getting-to-know-you application).']"
8,33,8_he_his_and_is,"['he', 'his', 'and', 'is', 'him', 'the', 'your', 'parenting', 'to', 'of']","['NTA I am always amazed at the shame people accept as punishment for ""snooping"" on their children\'s electronics, when their intuition or their childs actions prompt them to do so....And they find incriminating evidence of wrong doing. There is no shame in protecting their self-worth, self-respect, your families emotional well-being and the obvious boundaries in any family relationship not to mention the need to discover when a child is headed down a dark path or is showing hidden mental instability....nobody else will do it for you...and obviously you have discovered your child cannot be trusted to hold steady. It happens all the time. In my household we have an open electronics policy. That is the true test of trust. There is nothing I don\'t know about my entire families social media, and the same goes for me. It\'s the only way to be. If your loved ones won\'t let you go thru their phone or their computer then they are hiding something from you. Totally unacceptable in today\'s predatory world where the most egregious of horrors can invade your inner sanctum via the internet, twisting young minds. I have been where you are. My child was selling heroin via his computer and phone to the neighborhood kids. I thought he was just popular. He was 13 years old. I found his stash of money under his bed one day. A shit load of bucks. I knew it wasn\'t from mowing grass, so I went thru his computer. Figured it out pretty quick. If I didn\'t put the hammer down, and put it down hard...my son would have ended up living a life of crime, in jail or worse. I didn\'t smash his electronics, I completely removed all electronics from our home. I was the only person who had a phone. He went back to the stone age. He hated my guts, made our lives miserable for a few years. But with therapy, new friends, lots of extracurricular activities, a tutor, and patience..God the patience...he has become a person to be proud of. And yes, he eventually earned the PRIVILEGED of using a computer and having a phone again. As a father, you must stand your ground. You cannot change his thought process, it is learned from his internet use and the people he associates with. He needs intensive therapy (yes, I would suggest a male), new and a better quality of friends, more involvement from you as a role model...and no access to any electronics without your ass being right next to him. And no, he does not NEED a phone. No gaming either. Discover your neighborhood library instead. Good Luck! &#x200B; &#x200B;', 'NTA ""Dad, enough. No - stop. This is the last time I am saying this. Do not comment on our parenting again. You had your children, your time is over. This is not your child. If you criticise us again, you\'ll be treated like the stubborn toddler you\'re behaving like, and will be put in Time Out. That means you won\'t see B for 6 weeks. You do it again after that, I\'ll make it 3 months, you do it a third time, it\'ll be a year. Do you get the message? I\'ve had enough. Knock it off. This conversation is over, I will not discuss it again, and I\'m not interested in hearing your opinion on my ""generation"", either. We\'re the parents, you have no place here."" No more JADE. I\'m presuming you\'ve Justified, Argued, Defended and Explained until you\'re blue in the face, and it\'s done absolutely nothing to change his behavior. So stop doing it, and put your foot down. It stops, now, and that\'s the end of it, and too bad of he doesn\'t like it. >My mum says that he\'s just stubborn and set in his ways And bully for him but this is how you are and wouldn\'t it be fun if your mother put as much effort into changing his behavior as she does trying to change yours. Just because she enables his nonsense doesn\'t mean you have to.', 'NTA ""Dad, enough. No - stop. This is the last time I am saying this. Do not comment on our parenting again. You had your children, your time is over. This is not your child. If you criticise us again, you\'ll be treated like the stubborn toddler you\'re behaving like, and will be put in Time Out. That means you won\'t see B for 6 weeks. You do it again after that, I\'ll make it 3 months, you do it a third time, it\'ll be a year. Do you get the message? I\'ve had enough. Knock it off. This conversation is over, I will not discuss it again, and I\'m not interested in hearing your opinion on my ""generation"", either. We\'re the parents, you have no place here."" No more JADE. I\'m presuming you\'ve Justified, Argued, Defended and Explained until you\'re blue in the face, and it\'s done absolutely nothing to change his behavior. So stop doing it, and put your foot down. It stops, now, and that\'s the end of it, and too bad of he doesn\'t like it. >My mum says that he\'s just stubborn and set in his ways And bully for him but this is how you are and wouldn\'t it be fun if your mother put as much effort into changing his behavior as she does trying to change yours. Just because she enables his nonsense doesn\'t mean you have to.']"
