text,scheme_gold,inferred_scheme_output
a man dies of prostate cancer every 45 minutes in the UK. we're not up in arms about men dying from prostate cancer every second of the day. we need to accept that Covid19 is going to be with us.,Analogy,Ignorance
the COVID-19 pandemic is a kind of tea party compared to the disaster of climate change that we're going to face. children are facing not only this pandemic.,Analogy,Ignorance
the advice just keeps changing. we haven't done well but we haven't done as badly as some other countries. ,Best Explanation,Ignorance
Naomi Osaka wasn't accosted by the press when she was world number 3 or world No. 8 tennis player. being accosted by the press is part of the job of the world number 2 tennis player. Naomi Osaka is the world number 2 in tennis. being accosted by the press could be new to Naomi Osaka.,Best Explanation,Ignorance
"Naomi Osaka is a very young lady. it extends to a wider point with mental health and other issues, sexism, racism, that people say you're going through something, to share that experience and to tell people your issues and your problems. Naomi Osaka has been forced to take a lot of responsibility at an early age. ",Best Explanation,Ignorance
we miss out on people who bring a different power to the way they think and the discussions that they have. introverts are too scared to get involved in the real to and fro. it is a huge shame that finding introverts in politics is impossible. ,Best Explanation,Ignorance
"if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help. eviction is just criminal. ",Best Explanation,Ignorance
we now know as of today we vaccinated 50 percent of adults. we're continuing to roll out the vaccine programme. we're in a really strong position at the moment.,Best Explanation,Ignorance
Naomi Osaka identifies with the Black community. Naomi Osaka's mother is Japanese. Naomi Osaka is interesting. ,Best Explanation,Ignorance
lead sports people are in the public eye. we should respect that lead sports people are higher at risk of mental health problems. ,Best Explanation,Ignorance
the public purse is being used at the moment for furlough. the government are temporarily propping up things in the very short term. ,Best Explanation,Ignorance
"they have death rates of China 3 per million. Vietnam less than 1 per million. we're at 1,900 per million deaths and we've had three lockdowns. China and Vietnam had no lockdowns. the countries that have been most successful, the Asian states, they suppress the virus by proper public health control measures..",Best Explanation,Ignorance
we need a permanent long-term solution. where we got it really wrong is when there's ambiguity. ,Best Explanation,Ignorance
it would be easier if people knew what they can and can't do rather than what they may be able to do. where we got it really wrong is when there's ambiguity. ,Best Explanation,Ignorance
"you have had one dose of the vaccine you are only 34 percent protected. you had two doses, you're only about two-thirds protected. that means the real figure is only 40 percent of our population has had two doses.",Best Explanation,Ignorance
a woman renting a house or a flat with two children can't pay her rent. a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted. ,Best Explanation,Inconsistent Commitment
a woman renting a house or a flat with two children can't pay her rent. a woman renting a house or a flat with two children being terrified. ,Best Explanation,Ignorance
children are our future. that the UK spends most per head on tertiary education rather than all the others and vocational is a good thing as well. ,Best Explanation,Ignorance
"things are back to normal. look at this, the way the rent is paid, whatever. ",Best Explanation,Ignorance
it's 7 months' time before the spending review. students will be leaving school in 7 months' time.,Cause to Effect,Ignorance
education is absolutely fundamentally important. education is one of the reasons Lucy Frazer went into politics. ,Cause to Effect,Ignorance
the spending review will be coming up in the autumn. we will look at the spending review in the autumn. ,Cause to Effect,Ignorance
an unnamed popular journalist in the UK has been forthright in his views about Naomi Osaka. when Naomi Osaka shared her experience and told people her issues and her problems she has been lambasted and vilified by very many people. ,Cause to Effect,Ignorance
"kids could get into school and do some activity over the weekend and use the facilities that they have. last week Peter Kyle met a parent of a kid who, with his friends, jumped over the fence of his school. ",Cause to Effect,Ignorance
Boris Johnson says no. Rishi Sunak cuts the money. ,Cause to Effect,Ignorance
the other data is good. we might be able to open up on 21 June.,Cause to Effect,Ignorance
"Michael Gove not ruling out an extension to furlough means more people losing their jobs or not earning as much, not able to pay their rent. now is not the time to end the eviction ban. ",Cause to Effect,Ignorance
it is important we protected tenants. we didn't want anyone to be thrown out of their houses during this period. we protected tenants for a long time. ,Cause to Effect,Ignorance
"things could very quickly get out of control. the more transmissible a virus, the more coverage you need in order to achieve herd immunity. we need restrictions on indoor mixing and the wearing of masks. ",Cause to Effect,Ignorance
"the decisions that are made now will affect in 5, 10, 15 years' time. Heather McGregor is more worried about what is happening over the much longer term.",Cause to Effect,Ignorance
social media abuse has much contributed to Naomi Osaka's mental health state. Naomi Osaka doesn't want to do it. ,Cause to Effect,Ignorance
China and Vietnam had no lockdowns. China's and Vietnam's economy is thriving. ,Cause to Effect,Ignorance
lots of performers don't like performing live. lots of performers perform in the studio. ,Cause to Effect,Ignorance
lots of performers can't cope with performing live emotionally. lots of performers don't like performing live. ,Cause to Effect,Ignorance
"the press have become more and more -- looking for the angle, the scoop, the story, the headline that is going to shift their article over the others. as a result the press have isolated the people they are writing about. ",Cause to Effect,Ignorance
"when we make these life choices and sport is one of them, surely publicity and the press comes with the territory. Naomi Osaka should have anticipated that people would be interested in her story. ",Cause to Effect,Ignorance
"many infected by the virus will be younger. death rates should be much, much lower. ",Cause to Effect,Ignorance
children have lost their education. children feel abandoned. ,Cause to Effect,Ignorance
the figure is 110 days out of 190 that children have had social isolation. children have mental health problems.,Cause to Effect,Ignorance
the figure is 110 days out of 190 that children have had social isolation. children feel abandoned.,Cause to Effect,Ignorance
a year ago in March we had 580 reported cases on 12 March. by the end of the month there were 1.8 million. things could very quickly get out of control.,Cause to Effect,Ignorance
the facts are the government figures released today about the transmissibility and also about the additional vaccines. we have to face reality. ,Cause to Effect,Ignorance
the virus will keep coming back and throwing variants at us which are more and more transmissible and more virtual. we have another thing coming. ,Cause to Effect,Ignorance
"the press have become more and more -- looking for the angle, the scoop, the story, the headline that is going to shift their article over the others. the press only really have themselves to blame for the fact that sports people don't want to talk to them. ",Cause to Effect,Ignorance
"130,000-odd dead already. we should not put more people at risk.",Consequences,Ignorance
"if anything was going to make that whole thing fall apart it was if Naomi Osaka's sponsors all turned their backs on her. Heather McGregor was really pleased that MasterCard, Naomi Osaka's big sponsor, went straight out behind her and said, you know, we back you 100 percent.",Consequences,Ignorance
one of the most common things is anxiety and depression. it is important that we equip our young people. ,Consequences,Ignorance
when Naomi Osaka shared her experience and told people her issues and her problems she has been lambasted and vilified by very many people. Naomi Osaka has been forced to take a lot of responsibility at an early age. we should have more sympathy and patience and realise Naomi Osaka is a human being. ,Consequences,Ignorance
Naomi Osaka has been forced to take a lot of responsibility at an early age. Naomi Osaka has been brave and shared her experience and told people her issues and her problems. ,Consequences,Ignorance
there are going to be young people leaving school very shortly. kids really need help. ,Consequences,Ignorance
demands for an increased education budget is one among many demands to the public purse. ultimately the budgets are all going to have to be paid back one day. ,Consequences,Ignorance
we do not get the ability to evict tenants. people won't put their houses up for rent. ,Consequences,Ignorance
people won't put their houses up for rent. then we'll have loads and loads of empty rental stock. ,Consequences,Ignorance
this generation is going to be left with the tax bill of this. we owe it to this generation to put in the right amount of money. ,Consequences,Ignorance
the sooner we can do find a way to let business operate. the sooner the tax take will increase. we have to find a way to let business operate. ,Consequences,Ignorance
with the impact the pandemic has on children's mental health and on the economy in general that at some point we do need to open up. we do need to draw some kind of line under this pandemic. ,Consequences,Ignorance
with the impact the pandemic has on children's mental health and on the economy in general that at some point we do need to open up. you can't not have a day to work towards. it is impossible for people and businesses to figure out when we are going to be able to open up. we need to unlock. ,Consequences,Ignorance
"children have had a really tough time. Lucy Frazer is pleased that Tim Unknown brought up the question, 'are the government waiting for Marcus Rashford to step in before they sort the rest of the funding out?'. ",Consequences,Ignorance
the additional money for school children is quite a controversial measure. we have to ensure the unions are behind the measure. ,Consequences,Ignorance
we see what reviewing the evidence works. it is absolutely right we review the evidence. ,Consequences,Ignorance
we have a planning bill that is coming to the House which will encourage and ensure that we have sufficient housing stock. people can buy affordable homes. ,Consequences,Ignorance
we have another thing coming. we should have invested. ,Consequences,Ignorance
"the effects eviction will have on the rest of their lives will be disastrous. in the short term we need long notice periods, debt renegotiation, and interest-free loans. ",Consequences,Ignorance
this age group is going to damn this government forever. in five years' time the education budget cut will be failing business. ,Consequences,Ignorance
"you have to do something about education founding otherwise you have lost that age group. the decisions that are made now will affect in 5, 10, 15 years' time.",Consequences,Ignorance
eviction is a disaster for families and for children. the next thing people are going to be worried about is whether they are going to lose their house as well. ,Consequences,Ignorance
we can use progressive policies to ensure that people don't lose their homes. people are worried now about being evicted. ,Consequences,Ignorance
persisting athletes is horrible. athletes should not be persisted. ,Consequences,Ignorance
many people could end up in hospital. the NHS could be thrown into another surge. ,Consequences,Ignorance
